id,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
30063807,Central located house for big groups,32862540,Patrycja,"2015-05-07 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","1,0",0,9,14,"['email', 'phone']",1,1,Eastville,"51,47353","-2,55143",Entire home,Entire home/apt,16,"2,0",2 baths,"5,0","12,0","293,0",2,730,1,21,51,57,57,79,10,0,57,22,60,"17580,0","2019-04-07 00:00:00,000","2025-08-25 00:00:00,000","4,73","4,75","4,84","4,85","4,9","4,49","4,58",1,6,6,0,0,"1,0"
30398903,Cuthbert House - Two Double Bedrooms,73802134,Alys,"2016-05-24 00:00:00,000","Bristol, United Kingdom",,within a few hours,"0,9","0,92",1,1,2,"['email', 'phone']",1,1,Brislington West,"51,4395","-2,55258",Entire condo,Entire home/apt,4,"1,0",1 bath,"2,0","2,0","84,0",3,1125,1,13,34,59,314,145,44,2,62,30,255,"21420,0","2019-04-14 00:00:00,000","2025-09-08 00:00:00,000","4,85","4,9","4,85","4,91","4,71","4,75","4,82",0,1,1,0,0,"1,84"
35634617,"Stylish 1-Bed Flat in, BS7",268080116,Jack,"2019-06-12 00:00:00,000",,,within an hour,"1,0","0,97",0,1,1,"['email', 'phone']",0,0,Redland,"51,47879","-2,5964",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","110,0",1,365,1,0,0,0,209,16,16,0,0,0,96,"10560,0","2025-06-22 00:00:00,000","2025-08-25 00:00:00,000","4,81","4,94","5,0","4,94","4,94","4,75","4,63",0,1,1,0,0,"4,95"
36095209,"Flat, Old City Centre",27954975,John,"2015-02-18 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","1,0",1,3,3,"['email', 'phone']",1,1,Central,"51,45349","-2,59293",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","81,0",2,1125,1,12,34,55,322,326,60,1,61,63,255,"20655,0","2019-07-08 00:00:00,000","2025-09-12 00:00:00,000","4,86","4,89","4,74","4,87","4,97","4,92","4,82",1,3,3,0,0,"4,3"
37244950,Fantastic City Centre Apartment -  CAZ free,126944043,Aaron,"2017-04-21 00:00:00,000","Bristol, United Kingdom",,within a few hours,"0,8","0,78",1,4,4,"['email', 'phone']",1,1,Central,"51,46104","-2,59364",Entire condo,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","70,0",4,60,1,12,39,69,344,55,13,0,76,10,104,"7280,0","2021-05-29 00:00:00,000","2025-08-05 00:00:00,000","4,95","4,91","4,91","4,89","4,87","4,87","4,87",0,2,2,0,0,"1,04"
37672505,Banksy's hometown!,61538404,Lindon,"2016-03-04 00:00:00,000","England, United Kingdom",,within a few hours,"1,0","0,9",1,2,4,"['email', 'phone']",1,1,Easton,"51,46777","-2,55925",Entire condo,Entire home/apt,4,"1,0",1 bath,"2,0","2,0","85,0",7,730,1,17,47,77,77,18,2,0,77,0,28,"2380,0","2019-10-27 00:00:00,000","2025-07-14 00:00:00,000","4,5","4,56","4,67","4,67","4,83","4,72","4,61",0,2,2,0,0,"0,25"
40468365,Cosy One Bedroom Flat,34763945,Mary,"2015-06-01 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","0,77",0,3,3,"['email', 'phone']",1,1,Bishopsworth,"51,41711","-2,61881",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","80,0",3,60,1,30,60,90,97,23,1,0,97,2,6,"480,0","2020-08-02 00:00:00,000","2025-02-19 00:00:00,000","4,74","4,83","4,83","4,91","4,96","4,74","4,61",0,3,3,0,0,"0,37"
42690375,Belgrave Apartment 3 Clifton,333150984,Zahid,"2020-02-03 00:00:00,000",,,within an hour,"1,0","0,98",1,4,4,"['email', 'phone']",1,1,Clifton Down,"51,47014","-2,61563",Entire serviced apartment,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","101,0",2,365,1,24,54,84,264,128,35,5,91,21,210,"21210,0","2020-03-09 00:00:00,000","2025-09-19 00:00:00,000","4,86","4,86","4,85","4,97","4,99","4,94","4,8",0,4,4,0,0,"1,89"
46183832,Our Little Gem,40467207,Louise,"2015-08-04 00:00:00,000","Bristol, United Kingdom",,within a few hours,"0,6","0,96",0,2,2,"['email', 'phone']",1,1,Southville,"51,44542","-2,61341",Entire home,Entire home/apt,7,"2,0",2 baths,"3,0","5,0","307,0",1,30,1,11,28,54,329,49,3,1,61,3,18,"5526,0","2021-04-13 00:00:00,000","2025-09-07 00:00:00,000","4,9","4,92","4,84","4,86","4,88","4,9","4,78",1,2,1,1,0,"0,9"
48690340,Great Bristol Location,214233269,Lucy,"2018-09-08 00:00:00,000",,,,"0,0","0,0",0,1,2,"['email', 'phone']",1,0,Eastville,"51,47328","-2,54845",Entire condo,Entire home/apt,6,"1,0",1 bath,"2,0","5,0","164,0",3,1125,1,29,59,89,179,10,0,0,96,0,0,"0,0","2021-11-11 00:00:00,000","2023-09-24 00:00:00,000","4,7","4,9","4,7","5,0","4,9","3,9","4,7",0,1,1,0,0,"0,21"
49805761,Ideally located one-bedroom flat by Temple Meads,42007723,Davin,"2015-08-20 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","0,91",1,1,1,"['email', 'phone']",1,1,Central,"51,44830703735352","-2,584901094436645",Entire condo,Entire home/apt,2,"1,5",1.5 baths,"1,0","1,0","63,0",1,100,1,21,48,64,74,358,96,7,71,90,255,"16065,0","2021-06-06 00:00:00,000","2025-09-25 00:00:00,000","4,85","4,89","4,77","4,75","4,94","4,87","4,76",0,1,1,0,0,"6,82"
50342413,"Bright and Modern House in Bedminster, Bristol.",103798298,Holly,"2016-11-15 00:00:00,000","Bristol, United Kingdom",,,"0,0","0,0",0,1,1,"['email', 'phone']",1,1,Filwood,"51,43197","-2,60292",Entire home,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","137,0",6,365,1,23,53,83,358,2,0,0,90,0,0,"0,0","2021-06-26 00:00:00,000","2021-08-15 00:00:00,000","4,5","5,0","4,0","5,0","5,0","5,0","5,0",0,1,1,0,0,"0,04"
51119304,"Self contained flat, easy commute to City UWE hosp",254358117,Sherry,"2019-04-09 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","1,0",0,1,1,"['email', 'phone']",1,1,Frome Vale,"51,48954","-2,53569",Entire guest suite,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","67,0",1,1125,1,15,41,70,341,56,4,0,73,11,24,"1608,0","2021-08-08 00:00:00,000","2025-08-02 00:00:00,000","4,66","4,68","4,64","4,84","4,89","4,7","4,63",0,1,1,0,0,"1,11"
51277087,Beautiful 2 bedroom Garden flat with own parking,275753132,Karen,"2019-07-13 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","1,0",1,1,2,"['email', 'phone']",1,1,Clifton Down,"51,4636","-2,61061",Entire rental unit,Entire home/apt,5,"2,0",2 baths,"2,0","3,0","254,0",3,7,1,4,34,64,334,51,13,1,71,8,78,"19812,0","2021-08-16 00:00:00,000","2025-09-20 00:00:00,000","4,86","4,86","4,55","4,9","4,94","4,96","4,65",0,1,1,0,0,"1,02"
51439891,"Bright, stylish townhouse",34347555,Rebecca,"2015-05-27 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","1,0",0,1,3,"['email', 'phone']",1,1,Brislington East,"51,43596","-2,54724",Entire townhouse,Entire home/apt,4,"1,0",1 bath,"2,0","2,0","94,0",1,7,1,0,20,34,34,20,17,3,34,0,102,"9588,0","2023-08-28 00:00:00,000","2025-09-22 00:00:00,000","4,8","4,75","4,85","4,9","4,8","4,8","4,75",0,1,1,0,0,"0,79"
52254180,Unique Harbourside Apartment With Parking,123482662,Zarah,"2017-03-30 00:00:00,000","Bristol, United Kingdom",,within a few hours,"0,9","0,95",0,1,1,"['email', 'phone']",1,1,Hotwells & Harbourside,"51,45103","-2,6062",Entire condo,Entire home/apt,4,"1,0",1 bath,"2,0","2,0","184,0",1,365,1,26,56,81,165,204,11,0,84,12,66,"12144,0","2021-10-02 00:00:00,000","2025-08-25 00:00:00,000","4,87","4,9","4,77","4,76","4,94","4,99","4,67",0,1,1,0,0,"4,2"
52278808,Small 1 bed apartment in a great location.,423145314,Abbie,"2021-09-15 00:00:00,000",,,within an hour,"1,0","1,0",1,1,1,"['email', 'phone']",1,1,Horfield,"51,49867","-2,58222",Entire serviced apartment,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","75,0",2,28,1,0,0,0,0,149,48,3,0,45,255,"19125,0","2021-11-01 00:00:00,000","2025-09-26 00:00:00,000","4,78","4,84","4,86","4,9","4,91","4,77","4,66",1,1,1,0,0,"3,13"
52362708,Cosy jungle flat with free parking on premises,91441368,Jasmine,"2016-08-23 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","0,95",1,1,1,"['email', 'phone']",1,1,Redland,"51,47083","-2,59445",Entire condo,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","72,0",2,31,1,12,41,71,71,111,29,5,71,22,174,"12528,0","2021-11-07 00:00:00,000","2025-09-22 00:00:00,000","4,78","4,9","4,71","4,96","4,97","4,86","4,77",0,1,1,0,0,"2,35"
52447050,"Victorian Terrace Family Home, Great local pub",15059216,Aline,"2014-05-03 00:00:00,000","Bristol, United Kingdom",,,"0,0","0,0",0,1,1,"['email', 'phone']",1,1,Knowle,"51,43449","-2,56359",Entire home,Entire home/apt,6,"1,0",1 bath,"3,0","2,0","164,0",2,60,1,0,0,0,142,20,0,0,0,3,0,"0,0","2021-10-17 00:00:00,000","2024-07-14 00:00:00,000","4,95","5,0","5,0","5,0","5,0","5,0","5,0",1,1,1,0,0,"0,42"
52861584,Cosy garden cabin with a private verandah,74995350,Monika,"2016-05-31 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","0,98",1,1,1,"['email', 'phone']",1,1,Horfield,"51,4979","-2,57751",Entire guest suite,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","72,0",1,7,1,20,50,80,80,254,52,3,80,65,255,"18360,0","2021-11-07 00:00:00,000","2025-09-14 00:00:00,000","4,93","4,92","4,99","4,96","4,98","4,72","4,81",0,1,1,0,0,"5,37"
53239329,Lovely 1-Bedroom in the city centre,431023873,Enrico,"2021-11-08 00:00:00,000",,,within an hour,"1,0","0,97",0,1,1,"['email', 'phone']",1,1,Ashley,"51,46099","-2,58526",Entire condo,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","91,0",2,20,1,20,50,80,260,99,20,3,87,5,120,"10920,0","2022-02-13 00:00:00,000","2025-09-21 00:00:00,000","4,93","4,94","4,81","4,93","4,99","4,85","4,86",1,1,1,0,0,"2,25"
54254304,Lovely Victorian house close to St George’s Park,24733888,Anna,"2014-12-11 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","1,0",1,1,4,"['email', 'phone']",1,1,St George West,"51,45799","-2,54768",Entire home,Entire home/apt,4,"1,0",1 bath,"2,0","2,0","81,0",30,1125,1,0,0,5,193,31,4,1,12,9,240,"19440,0","2022-02-13 00:00:00,000","2025-09-08 00:00:00,000","4,77","4,77","4,71","4,97","5,0","4,77","4,71",0,1,1,0,0,"0,7"
553494303654824902,4 bed family house. Redland/Nr the Downs.,79541805,Priya,"2016-06-23 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","0,5",0,1,1,"['email', 'phone']",1,1,Redland,"51,473270416259766","-2,610124111175537",Entire home,Entire home/apt,7,"2,0",2 baths,"4,0","4,0","245,0",5,15,1,1,8,8,80,12,2,0,8,3,20,"4900,0","2022-05-29 00:00:00,000","2025-08-25 00:00:00,000","5,0","5,0","5,0","5,0","5,0","4,83","4,92",0,1,1,0,0,"0,3"
566477299533973417,Charming Victorian house just off North Street,445960913,Bart,"2022-02-20 00:00:00,000",,,within a few hours,"1,0","1,0",0,1,1,"['email', 'phone']",1,1,Bedminster,"51,43786","-2,61296",Entire home,Entire home/apt,4,"2,0",2 baths,"2,0","2,0","64,0",25,30,1,1,1,1,181,0,0,0,1,0,0,"0,0",,,nan,nan,nan,nan,nan,nan,nan,0,1,1,0,0,nan
566515617570414403,Stylish Charming Entire Apartment - Clifton,117164704,Ben,"2017-02-19 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","0,31",1,1,1,"['email', 'phone']",1,1,Clifton Down,"51,46547","-2,60732",Entire condo,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","113,0",2,1125,1,0,0,19,294,38,6,0,26,9,36,"4068,0","2022-03-06 00:00:00,000","2025-08-10 00:00:00,000","4,82","4,89","4,84","4,87","5,0","4,89","4,66",0,1,1,0,0,"0,88"
588933696519211399,Light and airy one bedroom guest house,108521599,Tom,"2016-12-26 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","0,72",1,1,1,"['email', 'phone']",1,1,Stoke Bishop,"51,48759","-2,64008",Entire guesthouse,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","65,0",4,365,1,12,12,16,107,45,11,0,19,13,88,"5720,0","2022-03-27 00:00:00,000","2025-08-23 00:00:00,000","5,0","4,98","4,93","5,0","5,0","4,96","4,93",0,1,1,0,0,"1,05"
600007747149640559,Lakeside apartment with beautiful views,80519147,Martin,"2016-06-28 00:00:00,000","Brighton, United Kingdom",,within a day,"1,0","1,0",0,2,2,"['email', 'phone']",1,1,Bishopsworth,"51,4139","-2,60086",Entire condo,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","98,0",3,150,1,28,58,88,268,1,1,0,95,0,6,"588,0","2025-08-08 00:00:00,000","2025-08-08 00:00:00,000","4,0","5,0","3,0","5,0","4,0","4,0","4,0",0,1,1,0,0,"0,6"
604125090481764269,"Fab Family Home, Central & Peaceful",173679643,Antonia,"2018-02-16 00:00:00,000","England, United Kingdom",,within an hour,"1,0","0,95",0,1,1,"['email', 'phone']",1,1,Brislington West,"51,44302","-2,55492",Entire townhouse,Entire home/apt,6,"1,5",1.5 baths,"3,0","4,0","123,0",2,14,1,6,17,22,71,31,10,1,26,7,60,"7380,0","2022-07-10 00:00:00,000","2025-09-21 00:00:00,000","4,84","4,87","4,87","4,94","4,9","4,84","4,58",1,1,1,0,0,"0,79"
675037536095365802,"Off Street Parking - Cosy 1 bedroom flat, Clifton",110601120,Will,"2017-01-09 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","1,0",1,1,1,"['email', 'phone']",1,1,Clifton,"51,45618","-2,61197",Entire condo,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","148,0",2,90,1,28,58,88,178,20,10,2,95,12,60,"8880,0","2023-12-10 00:00:00,000","2025-09-21 00:00:00,000","5,0","4,95","4,95","5,0","5,0","5,0","4,8",0,1,1,0,0,"0,91"
678559464945310181,Redland's Fun & Colourful Artistic House,59638448,Graham,"2016-02-20 00:00:00,000","England, United Kingdom",,within an hour,"1,0","1,0",0,1,1,"['email', 'phone']",1,1,Redland,"51,4748570462674","-2,6063279996905666",Entire home,Entire home/apt,6,"2,0",2 baths,"3,0","3,0","111,0",3,1125,1,26,32,32,32,5,5,1,32,0,30,"3330,0","2025-05-09 00:00:00,000","2025-08-27 00:00:00,000","4,2","4,6","4,8","4,6","4,6","4,6","4,2",0,1,1,0,0,"1,06"
686252410396833935,Family friendly house overlooking beautiful park,2338630,Rosamond,"2012-05-10 00:00:00,000","Bristol, United Kingdom",,within a day,"1,0","1,0",0,1,1,"['email', 'phone']",1,1,Redland,"51,47584","-2,60798",Entire townhouse,Entire home/apt,8,"2,5",2.5 baths,"5,0","6,0","167,0",4,30,1,0,0,0,30,11,4,0,0,4,32,"5344,0","2023-01-22 00:00:00,000","2025-08-24 00:00:00,000","5,0","5,0","5,0","5,0","5,0","5,0","4,91",0,1,1,0,0,"0,34"
711417395475792960,Large contemporary 2 bed flat with 100 inch TV,22828841,Mark,"2014-10-22 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","1,0",1,2,2,"['email', 'phone']",1,1,Cotham,"51,4681","-2,60612",Entire condo,Entire home/apt,4,"1,5",1.5 baths,"2,0","3,0","135,0",2,365,1,22,48,75,311,89,34,4,82,36,204,"27540,0","2022-09-22 00:00:00,000","2025-09-21 00:00:00,000","4,98","4,92","4,99","5,0","5,0","4,98","4,93",0,1,1,0,0,"2,43"
712320065848813949,lovely 1 bed apartment in great Clifton location,410430990,Adam,"2021-07-02 00:00:00,000","England, United Kingdom",,within an hour,"1,0","1,0",0,1,1,"['email', 'phone']",1,1,Clifton Down,"51,46964090842283","-2,613615168971335",Entire condo,Entire home/apt,4,"1,0",1 bath,"1,0","2,0","99,0",4,365,1,0,0,0,102,19,3,1,0,3,24,"2376,0","2022-10-01 00:00:00,000","2025-09-14 00:00:00,000","4,89","4,95","4,84","5,0","4,95","4,89","4,84",1,1,1,0,0,"0,52"
714981042941994423,Modern 2 Bedroom Apartment in BS3,276357822,Tom,"2019-07-15 00:00:00,000","Bristol, United Kingdom",,within a few hours,"1,0","0,64",0,1,1,"['email', 'phone']",1,1,Bedminster,"51,43676322647046","-2,605241627508541",Entire condo,Entire home/apt,3,"2,0",2 baths,"2,0","2,0","89,0",2,365,1,0,0,0,148,23,5,0,0,13,30,"2670,0","2022-09-23 00:00:00,000","2025-05-26 00:00:00,000","4,78","4,91","4,87","4,91","4,91","4,61","4,78",0,1,1,0,0,"0,63"
722284410473332295,Budget Studio Apartment Central Bristol,45339093,Ali,"2015-09-29 00:00:00,000","Bristol, United Kingdom",,within a few hours,"1,0","0,89",0,5,5,"['email', 'phone']",1,1,Ashley,"51,46659482516089","-2,58003619206542",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","58,0",3,365,1,21,51,81,81,53,15,0,81,12,90,"5220,0","2022-10-22 00:00:00,000","2025-08-17 00:00:00,000","4,55","4,51","4,3","4,89","4,81","4,06","4,47",0,5,5,0,0,"1,48"
722910002753482637,Modern 1 bed apartment on bustling North Street,119487206,Jay,"2017-03-06 00:00:00,000",,,within an hour,"1,0","1,0",0,1,1,"['email', 'phone']",1,1,Southville,"51,44238","-2,6183",Entire condo,Entire home/apt,4,"1,0",1 bath,"1,0","2,0","76,0",2,1125,1,3,9,33,303,106,13,0,38,46,78,"5928,0","2022-10-08 00:00:00,000","2025-08-10 00:00:00,000","4,72","4,75","4,84","4,84","4,79","4,73","4,56",1,1,1,0,0,"2,93"
725915047686324639,Affordable studio St Pauls Bristol,45339093,Ali,"2015-09-29 00:00:00,000","Bristol, United Kingdom",,within a few hours,"1,0","0,89",0,5,5,"['email', 'phone']",1,1,Ashley,"51,46565","-2,57912",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","58,0",3,365,1,26,56,83,83,32,7,1,83,17,42,"2436,0","2022-12-03 00:00:00,000","2025-09-08 00:00:00,000","4,28","4,0","4,03","4,75","4,72","3,97","4,09",0,5,5,0,0,"0,93"
730305993207161464,Budget Studio central Bristol,45339093,Ali,"2015-09-29 00:00:00,000","Bristol, United Kingdom",,within a few hours,"1,0","0,89",0,5,5,"['email', 'phone']",1,1,Ashley,"51,46725","-2,58072",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","58,0",3,365,1,26,56,86,86,38,5,0,86,8,30,"1740,0","2022-11-03 00:00:00,000","2025-07-26 00:00:00,000","4,21","4,37","4,0","4,79","4,68","4,05","4,08",0,5,5,0,0,"1,08"
731683296842495805,Budget Studio St Pauls Bristol,45339093,Ali,"2015-09-29 00:00:00,000","Bristol, United Kingdom",,within a few hours,"1,0","0,89",0,5,5,"['email', 'phone']",1,1,Ashley,"51,4665854","-2,5800574",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","58,0",3,365,1,4,28,58,58,45,6,0,58,21,36,"2088,0","2022-12-22 00:00:00,000","2025-07-08 00:00:00,000","4,6","4,69","4,6","4,84","4,87","4,29","4,42",0,5,5,0,0,"1,34"
756986228310354249,River View Road studio,9173136,Frances Elizabeth,"2013-10-01 00:00:00,000","England, United Kingdom",,within an hour,"1,0","0,92",1,1,1,"['email', 'phone']",1,1,Frome Vale,"51,48745","-2,54233",Entire guesthouse,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","66,0",2,365,1,0,0,0,109,46,30,3,0,16,180,"11880,0","2024-04-28 00:00:00,000","2025-09-11 00:00:00,000","4,96","5,0","4,91","4,98","5,0","4,96","4,91",0,1,1,0,0,"2,67"
778860802780043867,Gorgeous garden flat for two,28266505,Florence,"2015-02-24 00:00:00,000","Bristol, United Kingdom",,within an hour,"1,0","0,69",1,1,1,"['email', 'phone']",1,1,St George Central,"51,45954","-2,53988",Entire rental unit,Entire home/apt,2,"1,0",1 bath,"1,0","1,0","82,0",2,60,1,8,13,19,24,35,18,0,24,12,108,"8856,0","2023-03-05 00:00:00,000","2025-08-20 00:00:00,000","4,86","4,83","4,83","4,89","4,97","4,86","4,77",0,1,1,0,0,"1,12"
